ASV,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Domain,Phylum,Class,Order,Family,Genus,Species,DADA2_ID,Compartment,Treatment,ASV_Label,Condition,Label_full
ASV_320,19.43894781672546,18.651379978316854,3.578225658306687,5.212466110128781,1.8634661879963292e-7,3.021610423836048e-4,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,Burkholderia Complex,A. thaliana,1103ca8bb142d451387040be2c4d353b,Soil,Caterpillar OS,ASV_320 (Burkholderiaceae),A. thaliana-Soil-Caterpillar OS,Burkholderiaceae | Burkholderia Complex_ASV-320
ASV_1030,21.19813755986103,23.07484986175165,3.9954484569072695,5.775284079027527,7.682335915210914e-9,3.575487173871079e-7,d__Bacteria,Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,Caulobacteraceae,uncultured,A. thaliana,8e2b5c0e954ba820672a80821c2b81b0,Root,meJA 1mM,ASV_1030 (Caulobacteraceae),A. thaliana-Root-meJA 1mM,Caulobacteraceae | uncultured_ASV-1030
ASV_1429,3.8090335752800324,-21.48839263079935,3.997218277449819,-5.375836679229013,7.622786602708319e-8,1.3196388806923874e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,Cellvibrionaceae,Cellvibrio,A. thaliana,2eb5f63d947550207e8ab28d4dffcf73,Root,meJA 0.1mM,ASV_1429 (Cellvibrionaceae),A. thaliana-Root-meJA 0.1mM,Cellvibrionaceae | Cellvibrio_ASV-1429
ASV_1429,3.8090335752800324,-20.990515189280543,3.997218277449819,-5.251280698804435,1.5104529211540685e-7,3.443216148834887e-6,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,Cellvibrionaceae,Cellvibrio,A. thaliana,2eb5f63d947550207e8ab28d4dffcf73,Root,meJA 1mM,ASV_1429 (Cellvibrionaceae),A. thaliana-Root-meJA 1mM,Cellvibrionaceae | Cellvibrio_ASV-1429
ASV_1429,3.8090335752800324,-20.861770065482062,4.4877824389758985,-4.648569833577465,3.342444607832853e-6,2.893180729662378e-4,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,Cellvibrionaceae,Cellvibrio,A. thaliana,2eb5f63d947550207e8ab28d4dffcf73,Root,Caterpillar OS,ASV_1429 (Cellvibrionaceae),A. thaliana-Root-Caterpillar OS,Cellvibrionaceae | Cellvibrio_ASV-1429
ASV_625,6.8181930457063356,-20.847351902203144,3.6442330437307717,-5.720641806392473,1.0612241328998843e-8,4.461689461606228e-6,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,NA,A. thaliana,c19a7f74111d06c300dd83888ffb8638,Root,meJA 0.1mM,ASV_625 (Comamonadaceae),A. thaliana-Root-meJA 0.1mM,Comamonadaceae | ASV-625
ASV_1210,4.908933420711924,-21.520384958487053,3.996617214629592,-5.384650018448557,7.258574285565686e-8,1.3196388806923874e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,NA,A. thaliana,8967c58b2343596d18409d9ed3d4102e,Root,meJA 0.1mM,ASV_1210 (Comamonadaceae),A. thaliana-Root-meJA 0.1mM,Comamonadaceae | ASV-1210
ASV_853,9.954828524850157,19.455320590646227,4.169111093319762,4.666539258649121,3.0631514091155793e-6,0.0014191142885374034,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Roseateles,A. thaliana,f67af674f903f414c1ca4583cf164f04,Soil,meJA 0.1mM,ASV_853 (Comamonadaceae),A. thaliana-Soil-meJA 0.1mM,Comamonadaceae | Roseateles_ASV-853
ASV_958,7.6572418233796284,-22.86535562384222,4.2729459414439575,-5.351192347665257,8.737658623794242e-8,7.03996065335617e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,NA,B. oleracea,ed1ae188788174b0846a859012b3079a,Root,meJA 0.1mM,ASV_958 (Comamonadaceae),B. oleracea-Root-meJA 0.1mM,Comamonadaceae | ASV-958
ASV_1006,11.970802847722402,-23.148028109292028,4.272457966489621,-5.4179650896158815,6.028118246975729e-8,7.03996065335617e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Variovorax,B. oleracea,ea61b233d2a6f31cac48d4aafb2c1dd5,Root,meJA 0.1mM,ASV_1006 (Comamonadaceae),B. oleracea-Root-meJA 0.1mM,Comamonadaceae | Variovorax_ASV-1006
ASV_1127,12.137932271903393,-23.210835947615976,4.272401798075484,-5.432737145198133,5.549612704569426e-8,7.03996065335617e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Aquabacterium,B. oleracea,d46634844c91e24babe92054caaa7847,Root,meJA 0.1mM,ASV_1127 (Comamonadaceae),B. oleracea-Root-meJA 0.1mM,Comamonadaceae | Aquabacterium_ASV-1127
ASV_669,7.988470315419904,19.267006105353286,4.291495198767706,4.489578856079291,7.136412556793794e-6,0.00123546536040222,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Acidovorax,B. oleracea,4348f925b84982d439b6e9ebd442ca03,Root,meJA 0.1mM,ASV_669 (Comamonadaceae),B. oleracea-Root-meJA 0.1mM,Comamonadaceae | Acidovorax_ASV-669
ASV_509,18.033955251657577,-23.522583098986455,3.813731900310564,-6.167864892933595,6.921824617429612e-10,1.8211320568457311e-6,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Candidatus_Symbiobacter,B. oleracea,9c23d51b961b683baa92f3051a192150,Soil,meJA 0.1mM,ASV_509 (Comamonadaceae),B. oleracea-Soil-meJA 0.1mM,Comamonadaceae | Candidatus_Symbiobacter_ASV-509
ASV_706,3.9040714559908256,-21.554599495681593,4.167281276667939,-5.172340925572499,2.3117928716241978e-7,1.5205817613108162e-4,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Variovorax,B. oleracea,47082eb92759c2179725fe69f11672c5,Soil,meJA 0.1mM,ASV_706 (Comamonadaceae),B. oleracea-Soil-meJA 0.1mM,Comamonadaceae | Variovorax_ASV-706
ASV_439,108.74610260777533,24.88791646061861,3.9947061104600685,6.230224645425112,4.657668006660945e-10,6.503268954300344e-8,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Paucibacter,A. thaliana,4d6c276ca1a266bbaea4e467e479005d,Root,meJA 1mM,ASV_439 (Comamonadaceae),A. thaliana-Root-meJA 1mM,Comamonadaceae | Paucibacter_ASV-439
ASV_625,6.8181930457063356,-20.383921821503105,3.644233043730772,-5.593473736969118,2.2257090609229874e-8,7.533687942578718e-7,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,NA,A. thaliana,c19a7f74111d06c300dd83888ffb8638,Root,meJA 1mM,ASV_625 (Comamonadaceae),A. thaliana-Root-meJA 1mM,Comamonadaceae | ASV-625
ASV_986,5.611399583805058,21.54794998471636,3.9980008224727697,5.389681228576867,7.05827698702484e-8,1.9710238486266866e-6,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Rhizobacter,A. thaliana,6a0216560b4d6af2dd16fc9622a5ad33,Root,meJA 1mM,ASV_986 (Comamonadaceae),A. thaliana-Root-meJA 1mM,Comamonadaceae | Rhizobacter_ASV-986
ASV_1210,4.908933420711924,-21.29890320414843,3.996617214629593,-5.329232713651917,9.862855431912637e-8,2.5620487249875387e-6,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,NA,A. thaliana,8967c58b2343596d18409d9ed3d4102e,Root,meJA 1mM,ASV_1210 (Comamonadaceae),A. thaliana-Root-meJA 1mM,Comamonadaceae | ASV-1210
ASV_853,9.954828524850157,21.050870085396785,4.166044858285814,5.0529628944174405,4.3500843377374555e-7,3.526830876820642e-4,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Roseateles,A. thaliana,f67af674f903f414c1ca4583cf164f04,Soil,meJA 1mM,ASV_853 (Comamonadaceae),A. thaliana-Soil-meJA 1mM,Comamonadaceae | Roseateles_ASV-853
ASV_529,18.495364543745502,21.968724912566145,3.8894189785887434,5.648330774725995,1.6201322343964543e-8,5.8227552504208564e-006,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Rhizobacter,B. oleracea,0d76e8899d287e80e20b058410eb0fd1,Root,meJA 1mM,ASV_529 (Comamonadaceae),B. oleracea-Root-meJA 1mM,Comamonadaceae | Rhizobacter_ASV-529
ASV_1006,11.970802847722402,-23.11794231750263,4.272457966489619,-5.410923290252293,6.270062824443317e-8,1.609614699360663e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Variovorax,B. oleracea,ea61b233d2a6f31cac48d4aafb2c1dd5,Root,meJA 1mM,ASV_1006 (Comamonadaceae),B. oleracea-Root-meJA 1mM,Comamonadaceae | Variovorax_ASV-1006
ASV_1127,12.137932271903393,-23.201095431058544,4.272401798075484,-5.430457276164789,5.620983548271473e-8,1.609614699360663e-5,d__Bacteria,Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,Comamonadaceae,Aquabacterium,B. oleracea,d46634844c91e24babe92054caaa7847,Root,meJA 1mM,ASV_1127 (Comamonadaceae),B. oleracea-Root-meJA 1mM,Comamonadaceae | Aquabacterium_ASV-1127
