"","Domain","Phylum","Class","Order","Family","Genus","Species","DADA2_ID"
"ASV_18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","","c7511f6ef1f1bdb63c249524f83d76e9"
"ASV_19","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","719b5118d4c9e13de0a3ce346e679979"
"ASV_21","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","de9add879d755721b46d7ba387766b8d"
"ASV_22","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","7a40471c4a5947d80474d6529aa539c3"
"ASV_24","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","","9554c4285d3f4f6e7e9384b5d21b3274"
"ASV_25","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","","fc672ff88dc475b143532167712d4329"
"ASV_26","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","","5ad7f4f85a771f1f2f2df1f44ef66eae"
"ASV_27","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","e405a6746c773112d9e57378cc4ca60a"
"ASV_28","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","","70a06186aa6c679e9d9b9e2856362413"
"ASV_29","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","","fb75fa1fac5ad54c9d64c653e50a7126"
"ASV_30","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA,"d1316b26e5350da36e6456499ecdfe18"
"ASV_31","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","","9168aaff0592ac77d72e10d87cb63802"
"ASV_32","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","02ec97e4a301684105b21ac881e81a58"
"ASV_33","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","8202451ba30d7fa1141c8a07350b3845"
"ASV_34","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","c072251a52e386d253b33fc3df2cdca7"
"ASV_35","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalicibacterium","","26fcbd3a7c41b3055aa927f8b47bd684"
"ASV_36","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","","b1cd694fd2ea650cc5ba8c6ef5cde0f4"
"ASV_37","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,NA,"e5d2897df2f464827244b871d67ee050"
"ASV_39","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","","0e14e7ab105745ef2ef0891bd05831eb"
"ASV_40","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","","143229458b99ef8a101c9589be36630f"
"ASV_41","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","59421aba60d49e390e0509784f25829e"
"ASV_42","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","2401c9aff8ef663c6069d942ae9e13a5"
"ASV_43","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","","4130b0e1aef0d3a4c485f680995a0f62"
"ASV_44","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Labrys","","2db61432d8661536b4458c33e3b02d81"
"ASV_45","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles","","ed2fa8be462f9c21521ffde9f3ba4b76"
"ASV_46","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","0edfed32c2ae2c9a4927925e905cbc70"
"ASV_47","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","fe1cd52957e38ddd108d7634aa19f907"
"ASV_48","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","e03885674dabf48d94d45a64f4fa4c70"
"ASV_49","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","61afb4ac14238100eb2a646416ad679f"
"ASV_50","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","709f04952d39f96004aa12af34ed9244"
"ASV_51","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","uncultured","","7ee312b23600d406732d329746a4d9bf"
"ASV_52","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"0451eb05161fc41c27929376c390b01f"
"ASV_53","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","","f52496b8fdefea5ad36e893b589ea4f0"
"ASV_54","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","5a1e308fbdab067f362d9adc74eebc12"
"ASV_55","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","","4a9674186f32170a544d4561fe1d9246"
"ASV_56","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","090232b061a40616b1d9a6714f3ddb58"
"ASV_57","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","bd712d4374241bfc307ad7c42f738895"
"ASV_58","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,"67fe68b10effbc7af1e15eb1d66f58af"
"ASV_59","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","","9cce057c75c4bf8792364e8776ec3161"
"ASV_60","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","4d26186ff63b6509f15c92373c448e69"
"ASV_61","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","5ca8370a4d057c58b7feb994ea689519"
"ASV_62","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","5c5e4dd583724761cf7d0e72471f57d8"
"ASV_63","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Candidatus_Ovatusbacter","","e0ccdb54ff2f470b8b76ec55c51a4a71"
"ASV_64","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","e64afb2ca7d2f51d117d7f8cb6fe5e7c"
"ASV_65","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","","6c8e8f15c8b62edfc17dd5fc30ecd8cd"
"ASV_66","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga","","a57b51d02c9d77781b825dde8671b8a2"
"ASV_67","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"00f3a4a2243093399302c8ce5667b076"
"ASV_68","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium","","e9aff6fbdc8634583fc13d7b43016ba0"
"ASV_69","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","","facf0b9a7ba1e4766e91d8000c834f2c"
"ASV_70","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","96e4ae87c016659780b84ab965dfa427"
"ASV_71","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS_17","env.OPS_17","","6bb1e8a89f95946f8ec4c547f8ae438c"
"ASV_72","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter","","47150570fd9fa1589d801292dcba8b01"
"ASV_73","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","c64d0b194420756c348758b5e64f855e"
"ASV_74","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","f1d5b6946904c742c2f1b0f0b63b0a5f"
"ASV_75","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","","47b37b68e7a7ba61c88ecca30a1108b1"
"ASV_76","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","76bce96916153b66973c54cf9abfdee5"
"ASV_77","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,"b4b5cc6beec11d1cf7007cacd559c6d0"
"ASV_78","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA,"c1d8f746065975c3dc82d29b9eee6f45"
"ASV_79","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Chryseolinea","","86347b6dcc4d9fa11f59fcdd549e9add"
"ASV_80","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","","8d2a29d23de2d1b6cada06bf85915274"
"ASV_81","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter","","d4d0fc8a769eeee5e46d52caadcc5d9c"
"ASV_82","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","cd949e5c11cf104f60cffcfd9388c580"
"ASV_83","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"81b12bb1aa124c6e9bbb5c6309bc056e"
"ASV_84","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","","3621732294a61e8c5c172f50f3b1773a"
"ASV_85","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","f39443e17a1867cab460b53bca1dfb07"
"ASV_86","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"2c1b14313bb8fc6f13f02a14ca5e7c50"
"ASV_87","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","","eeda6d1f5269b1dbca978d206d74b57b"
"ASV_88","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","f0100e65e5bd5acf9c6d3b2864ef4824"
"ASV_89","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","","73685289bc86236f252522bc1bacf0da"
"ASV_90","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","","4f8521dd44ff57db0d963c4aa283de02"
"ASV_91","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"10d323c05a7340cea69b8e58c1630453"
"ASV_92","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Tahibacter","","4ded572fb2333509eccafb802c629ea3"
"ASV_93","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,"3cb73bc00762928a4618ba5cd102a245"
"ASV_95","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"0b542ed38fef02f118e357c84233a53f"
"ASV_96","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","","fb0d0607ed837f479dd51ac7b044a0d7"
"ASV_97","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","","64dcf32a9dfb696e13e589455e444da6"
"ASV_98","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","","d0f47c059d1d8ff70e46e50a9f5e0d77"
"ASV_99","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,"deeab9e6c55ad5838fbe7d520b01f396"
"ASV_100","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","","235c42b49271bd7268fcad55de33b53e"
"ASV_101","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","","5533ff6196254dbb7b11505fc56b8e42"
"ASV_102","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","85983d886e76850a9cf01950d87b10d1"
"ASV_103","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,"c9c7584cc7552cf62ff234cab23b0870"
"ASV_104","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella","","0e9a004ba66fba6d89f9049f23909a6c"
"ASV_105","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","","52d6fae91fe613402b5eb064db422d2a"
"ASV_106","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia","","1334a5f4baeb1f92f8e523ca7ae3e4e3"
"ASV_107","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","54cd9ca92b7b8bc2d999c049f62a56af"
"ASV_108","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","","2c1ee711b18969eb7e426dcf96038b52"
"ASV_109","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","","844b818a278a5edf276ec179451c96f4"
"ASV_110","Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionaceae","Vampirovibrio","","a3c1f9f75e156257326a4419c5d5f368"
"ASV_111","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","","e9b0959ee561652137c358df14c0e763"
"ASV_112","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Dinghuibacter","","eba61c3d0df89e6b96cac73e195df829"
"ASV_113","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Sporocytophaga","","a4152a488a63c9f0423b1fc7787f4bdf"
"ASV_114","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","8bdaa05f64e262badd46bb26d8728252"
"ASV_115","Bacteria","Acidobacteriota","Holophagae","Holophagales","Holophagaceae","Holophaga","","d4dff47e6b8c9aace187cfadab43af27"
"ASV_116","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","","1d7906ebfc62a01a930d423d5f86aa82"
"ASV_117","Bacteria","Actinobacteriota","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinocorallia","","4621307405bd02ff034eb27a1beb1486"
"ASV_118","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"79fea04aad9136be18cdcc527926bb53"
"ASV_119","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","23e4907e2164b5ac3b20e0c035396468"
"ASV_120","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","c7a31aeb82d1ba6bb95ffa05969f6c57"
"ASV_121","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","","cb322ce2bdac95dbe7d037ce041d9105"
"ASV_122","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,"427de3377089f603e2c5f1ec433b3536"
"ASV_123","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","f8026ac7b8c5fe3a1f5b5ad89d16a802"
"ASV_124","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","","a8a36653dc077dc09602aefc754f11a4"
"ASV_125","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"54c1510b5b87168aaf3e757b1d03726e"
"ASV_126","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Terrabacter","","69b2b4f17d60fc2e82875ba6ae44d06f"
"ASV_127","Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae","uncultured","","1c23f15445f2ce9d2180d53e8f2c71f8"
"ASV_128","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"811b04912c9b191174be42fdb2e4e968"
"ASV_129","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","","ff0a078d1b149791b04c626ed69f58f7"
"ASV_130","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","","291ed27556ec8aa3de831feae0c6b7a7"
"ASV_131","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae",NA,NA,"29b9b0c2d3a36ff404bfba4cb63aca1e"
"ASV_132","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","","b97cd4df3e482a5d4405f905dadabc57"
"ASV_133","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA,"0653aef632933571caff38549084da83"
"ASV_134","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","","dda307d7c100d1f1b443513ddd711003"
"ASV_135","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","ea6a32e7238ae591b4d7b0cdc5272a26"
"ASV_136","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas","","455e95916895c7361581c291d0bdcf44"
"ASV_137","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","cc85fdc75ba834f1588bb7df5539626e"
"ASV_138","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","","e3bc6e3dfe5eff6c357076ff34ffcc04"
"ASV_139","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"b0cef4917c9fb8b476660cb01662a0c0"
"ASV_140","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"b08c5feb745b0a0875662e8cfa9c5355"
"ASV_141","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","","87e6d725de903d8b86b164428c42a3b4"
"ASV_142","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,"c2fbcc21ebaaca81dadf53863c57e86a"
"ASV_143","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","","6fd81067db815cc85c9e00fe64d32714"
"ASV_144","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","","736210ef11bcafd1bcc7e24f09d9d819"
"ASV_145","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales","Saccharimonadales","","b63581d1c59ed484436c56fd3e1bc7b2"
"ASV_146","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","","714b0378efe0b8744e24aa04b48008d3"
"ASV_147","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","uncultured","","dfb7f84268bec53613d1930382500b1d"
"ASV_148","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","","cf4d6d33db92aa30e309e30f8350c13e"
"ASV_149","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","","c7ba2aae94cbe0284443a7c62f35dad0"
"ASV_150","Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031","SBR1031","","d46864a4bc80f92122316ed02d2c602d"
"ASV_151","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga","","c70e7c748d7bdd2f85e0b451a985c0b7"
"ASV_152","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","","a652ca0177cf4249e79236b3844f010d"
"ASV_153","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter","","6a632071f5378dbc1606a3933cd9500f"
"ASV_154","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","894e7f3c9f24b484513d1670982c9352"
"ASV_155","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,"cc3972883fd7f6156ba7a61c2172183b"
"ASV_156","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","","df34ea9690bc1c0642e1b6246dba210e"
"ASV_157","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"22d1530a599b35b2b24079d1868446c7"
"ASV_158","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","","368888cc29a1ba9db3401f4aa16b553a"
"ASV_159","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"a805e0363ffbb96707460188ab17fd17"
"ASV_160","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","uncultured","","00dd6163a0ff44c4239904f714411567"
"ASV_161","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","005b1a533826d0e135eafe3773b12203"
"ASV_162","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rubrivivax","","ddfa19b6795e945aeb2fb23f09a57b81"
"ASV_163","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter","","7b0b4759e82c6380648e5d33598b6678"
"ASV_164","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","","3d42daf080a747db5771947b978bf697"
"ASV_165","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","","a04f4208896684b1a800b49ad033f344"
"ASV_166","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","","1de2e4179a5cefb53bc9b344985b78d1"
"ASV_167","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","","a88b7f508c090e49b2ef7f2189760aa4"
"ASV_168","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"9fce468becd562b13822618a5e1b8571"
"ASV_169","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","0dc95197c4e7a21a80e787bc3b6e60ac"
"ASV_170","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","","1eaaddbb841697d9de23103f4100e6a8"
"ASV_171","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","","2078d3dfa1bb10c0a338becbce2a3435"
"ASV_172","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","4c3430c5be906a60582245cb0e59c7df"
"ASV_173","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","b3d3cf6172f12d94c721e3ab3984ec0e"
"ASV_174","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,"6efd74b1784cd39619e4f722309cd4b8"
"ASV_175","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","","b74ef54ae169ca2de05b1554a4ff5cac"
