"","ASV","Plant_Species","Compartment","Method","Domain","Phylum","Class","Order","Family","Genus","Species","DADA2_ID"
"92","ASV_755","Arabidopsis_thaliana","Soil","DA","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium","","c081c63688123356f5b6b9e4fe5fd9b4"
"93","ASV_958","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"ed1ae188788174b0846a859012b3079a"
"94","ASV_1006","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","","ea61b233d2a6f31cac48d4aafb2c1dd5"
"95","ASV_1127","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Aquabacterium","","d46634844c91e24babe92054caaa7847"
"96","ASV_669","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","","4348f925b84982d439b6e9ebd442ca03"
"97","ASV_529","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter","","0d76e8899d287e80e20b058410eb0fd1"
"98","ASV_706","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","","47082eb92759c2179725fe69f11672c5"
"99","ASV_1540","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylophilus","","78c93dc2877bbb6423314c4012908222"
"100","ASV_1209","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","ef698c54ca22ab163690ff9ca8dbb3f6"
"101","ASV_812","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","","5dcca56aa4ee63e5873f6094b831f400"
"102","ASV_815","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","","4c9bc0b086802bb0887f73556efb9465"
"103","ASV_1130","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Rickettsiella","","bcbf6016004074cb9ccbc4af2f2e4c47"
"104","ASV_808","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter","","d5e007ffb5793bf28809edcb7af16491"
"105","ASV_1441","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","","e311d3f69c3425c96a683f6f1f6810d0"
"106","ASV_902","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum","","ad2281ce47473ddbb0457df697779754"
"107","ASV_679","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","e5281735e0a80bf2f6195dab6977e425"
"108","ASV_1289","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas","","c89f2db4d99e9de44b5ec07e05e348db"
"109","ASV_665","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","","a7fa7a6c9dbd6b9e5acc1c3efa16fba1"
"110","ASV_796","Brassica_oleraceae","Root","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter","","74b3731231e741dc947f01de707e7f0a"
"111","ASV_354","Brassica_oleraceae","Root","DA","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella","","88f1cf846334ca4e3ddcbd0a051aee97"
"112","ASV_266","Brassica_oleraceae","Root","DA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","ca1e44396c5d533c9638ff14706d4d3b"
"113","ASV_493","Brassica_oleraceae","Root","DA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","498dc00c661222845b8c934a688a39c8"
"114","ASV_1039","Brassica_oleraceae","Root","DA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","a202b7c5fa8aee0e2e6cfa14ca4e3273"
"115","ASV_607","Brassica_oleraceae","Root","DA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","449e67700ae4a4d6543c3e0966783ddc"
"116","ASV_956","Brassica_oleraceae","Root","DA","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA,"87d662e1ccfdd7bd0f6d01b2dabe4c8d"
"117","ASV_78","Brassica_oleraceae","Root","DA","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA,"c1d8f746065975c3dc82d29b9eee6f45"
"118","ASV_605","Brassica_oleraceae","Root","DA","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA,"281d4badbcc99017d98c9a0aa90e6fb2"
"119","ASV_235","Brassica_oleraceae","Root","DA","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","","d6021e8944aae0cc28b535070bee815c"
"120","ASV_207","Brassica_oleraceae","Root","DA","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina","","41692b85b28c21cd52251d9ce01af670"
"121","ASV_979","Brassica_oleraceae","Root","DA","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","","e2d1a67f521316cb1307ce4b56073ce5"
"122","ASV_509","Brassica_oleraceae","Soil","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Candidatus_Symbiobacter","","9c23d51b961b683baa92f3051a192150"
"123","ASV_706","Brassica_oleraceae","Soil","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","","47082eb92759c2179725fe69f11672c5"
"124","ASV_305","Brassica_oleraceae","Soil","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium","","50196de05c46ec24d8203d782f9a1a76"
"125","ASV_670","Brassica_oleraceae","Soil","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","c51b918ee1c53a9580f0e0d63f6e4dec"
"126","ASV_406","Brassica_oleraceae","Soil","DA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium","","14adacfae6b38ce8962efc227fad7213"
"127","ASV_868","Brassica_oleraceae","Soil","DA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","","2569b4c4cad75aecc852532bc6bd3c10"
"128","ASV_354","Brassica_oleraceae","Soil","DA","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella","","88f1cf846334ca4e3ddcbd0a051aee97"
"129","ASV_118","Arabidopsis_thaliana","Root","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"79fea04aad9136be18cdcc527926bb53"
"130","ASV_157","Arabidopsis_thaliana","Root","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"22d1530a599b35b2b24079d1868446c7"
"131","ASV_158","Arabidopsis_thaliana","Root","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","","368888cc29a1ba9db3401f4aa16b553a"
"132","ASV_16","Arabidopsis_thaliana","Root","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","","47e1a48800fe5d17f09e178ed259ae4b"
"133","ASV_247","Arabidopsis_thaliana","Root","NetA","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","","a6694448f4b5f465459d3adc8fb9947c"
"134","ASV_49","Arabidopsis_thaliana","Root","NetA","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","","61afb4ac14238100eb2a646416ad679f"
"135","ASV_7","Arabidopsis_thaliana","Root","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,"9db2817f5c42be6a7bcbca662959982d"
"136","ASV_58","Brassica_oleraceae","Root","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,"67fe68b10effbc7af1e15eb1d66f58af"
"137","ASV_695","Brassica_oleraceae","Root","NetA","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptacidiphilus","","94383fd80938bc58d73ca1f48585b2df"
"138","ASV_9","Brassica_oleraceae","Root","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella","","ac59ca7cc131d8d50d0b5cd4e4e266a8"
"139","ASV_1","Arabidopsis_thaliana","Soil","NetA","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","","93120265f9c84ff7e35370a1f4336272"
"140","ASV_104","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella","","0e9a004ba66fba6d89f9049f23909a6c"
"141","ASV_134","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","","dda307d7c100d1f1b443513ddd711003"
"142","ASV_136","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas","","455e95916895c7361581c291d0bdcf44"
"143","ASV_157","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"22d1530a599b35b2b24079d1868446c7"
"144","ASV_184","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","","8b324b9c2d76084303ac9f264a260ed7"
"145","ASV_234","Arabidopsis_thaliana","Soil","NetA","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","","784745c07ceaabc2d2203eb2e3351547"
"146","ASV_26","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","","5ad7f4f85a771f1f2f2df1f44ef66eae"
"147","ASV_282","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella","","e7aa64117d2516448619f73771e227b6"
"148","ASV_335","Arabidopsis_thaliana","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Sporocytophaga","","b811f2f34e5ff4da0cfe70eb0796aabd"
"149","ASV_341","Arabidopsis_thaliana","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","e5853403c041a10c804f32d419e91231"
"150","ASV_37","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,NA,"e5d2897df2f464827244b871d67ee050"
"151","ASV_40","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","","143229458b99ef8a101c9589be36630f"
"152","ASV_421","Arabidopsis_thaliana","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","","e06434eb3ace991a000d79758146b4b9"
"153","ASV_429","Arabidopsis_thaliana","Soil","NetA","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41","","5c88e8cf1a3dc09a8a7cffd837b75332"
"154","ASV_441","Arabidopsis_thaliana","Soil","NetA","Bacteria","Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41","","e39802881c843147a62503b06c6493ad"
"155","ASV_488","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","","a1fdbc75cb793ea6b924e0a538f3fca0"
"156","ASV_544","Arabidopsis_thaliana","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga","","4eaedc1514f309f086f36238b89befcb"
"157","ASV_55","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","","4a9674186f32170a544d4561fe1d9246"
"158","ASV_58","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,"67fe68b10effbc7af1e15eb1d66f58af"
"159","ASV_636","Arabidopsis_thaliana","Soil","NetA","Bacteria","Myxococcota","Polyangia","mle1-27","mle1-27","mle1-27","","c96e772ef3754a7e8b33677f3158b527"
"160","ASV_713","Arabidopsis_thaliana","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","29ba7c99435c12f4061e8a81c10786d5"
"161","ASV_8","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,"2345c975ae95fddd8aa7816acb912ffc"
"162","ASV_820","Arabidopsis_thaliana","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter","","af4312d3c8bcca9c2a0e4e2fe25c205e"
"163","ASV_90","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","","4f8521dd44ff57db0d963c4aa283de02"
"164","ASV_93","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,"3cb73bc00762928a4618ba5cd102a245"
"165","ASV_97","Arabidopsis_thaliana","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","","64dcf32a9dfb696e13e589455e444da6"
"166","ASV_98","Arabidopsis_thaliana","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas","","d0f47c059d1d8ff70e46e50a9f5e0d77"
"167","ASV_10","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","","c10f089319ce7c050aa0c8e980d33faa"
"168","ASV_120","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","","c7a31aeb82d1ba6bb95ffa05969f6c57"
"169","ASV_1220","Brassica_oleraceae","Soil","NetA","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,"5ce90e82e5e94ea2713c63199ba5ebe2"
"170","ASV_130","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","","291ed27556ec8aa3de831feae0c6b7a7"
"171","ASV_144","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","","736210ef11bcafd1bcc7e24f09d9d819"
"172","ASV_149","Brassica_oleraceae","Soil","NetA","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter","","c7ba2aae94cbe0284443a7c62f35dad0"
"173","ASV_152","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","","a652ca0177cf4249e79236b3844f010d"
"174","ASV_156","Brassica_oleraceae","Soil","NetA","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Kribbella","","df34ea9690bc1c0642e1b6246dba210e"
"175","ASV_157","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"22d1530a599b35b2b24079d1868446c7"
"176","ASV_167","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","","a88b7f508c090e49b2ef7f2189760aa4"
"177","ASV_168","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"9fce468becd562b13822618a5e1b8571"
"178","ASV_177","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","","354b64263d23bb68fc9332a1e495e60f"
"179","ASV_233","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","","7f09498fb455a333197f691f08b55bc7"
"180","ASV_245","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum","","4715d00a2315b24a3fcc1b66ae839a94"
"181","ASV_268","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","","f97216862526f767d2ac58eb0db875d3"
"182","ASV_271","Brassica_oleraceae","Soil","NetA","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","67-14","67-14","","64a97d7a97b23e806d2f78fae078e5ec"
"183","ASV_28","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","","70a06186aa6c679e9d9b9e2856362413"
"184","ASV_30","Brassica_oleraceae","Soil","NetA","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA,"d1316b26e5350da36e6456499ecdfe18"
"185","ASV_315","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","","6a0d39748daa7d0f74c43adf6c7652c7"
"186","ASV_323","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA,"c6db1c17cb4f59fbd63310c1b2f8cac2"
"187","ASV_326","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,"33ebd1d233a340ffeefdc90cf5cc2c7a"
"188","ASV_335","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Sporocytophaga","","b811f2f34e5ff4da0cfe70eb0796aabd"
"189","ASV_343","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","","6143cc22344994240ed14fba2c3b9760"
"190","ASV_37","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,NA,"e5d2897df2f464827244b871d67ee050"
"191","ASV_391","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Paucibacter","","2849cd76035dfe40f33118453c3fd429"
"192","ASV_410","Brassica_oleraceae","Soil","NetA","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","","dbef6d2d861ec3c17b7d9f3ddd671919"
"193","ASV_421","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter","","e06434eb3ace991a000d79758146b4b9"
"194","ASV_45","Brassica_oleraceae","Soil","NetA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Roseateles","","ed2fa8be462f9c21521ffde9f3ba4b76"
"195","ASV_492","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","","fee7462eb60215a1c6f80f09c478e5ba"
"196","ASV_51","Brassica_oleraceae","Soil","NetA","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","uncultured","","7ee312b23600d406732d329746a4d9bf"
